"Metro","Population","PopRank","Homeless","HomelessPer100k","HomelessRank","HomelessnessRateRank"
"Akron, OH",699935,"   72","   857","     12","   81","     65"
"Albany-Schenectady-Troy, NY",857592,"   58","   1,586","     18","   53","     33"
"Albuquerque, NM","  857,903","   57","   1,639","     19","   49","     28"
"Allentown-Bethlehem-Easton, PA-NJ","  816,012","   62","   1,231","     15","   64","     53"
"Atlanta-Sandy Springs-Marietta, GA","  5,475,213","    9","   7,175","     13","   15","     61"
"Augusta-Richmond County, GA-SC","  539,154","   95","   497","     9","   94","     85"
"Austin-Round Rock, TX","  1,705,075","   35","   2,362","     14","   37","     57"
"Bakersfield, CA","  807,407","   63","   1,439","     18","   56","     36"
"Baltimore-Towson, MD","  2,690,886","   20","   5,968","     22","   20","     23"
"Baton Rouge, LA","  786,947","   66","   501","     6","   93","     95"
"Birmingham-Hoover, AL","  1,131,070","   47","   1,950","     17","   43","     40"
"Boise City-Nampa, ID","  606,376","   85","   838","     14","   84","     58"
"Boston-Cambridge-Quincy, MA-NH","  4,588,680","   10","  11,248","     25","    8","     20"
"Bradenton-Sarasota-Venice, FL","  688,126","   75","   1,152","     17","   66","     42"
"Bridgeport-Stamford-Norwalk, CT","  901,208","   56","   1,005","     11","   73","     72"
"Buffalo-Niagara Falls, NY","  1,123,804","   50","   1,114","     10","   68","     80"
"Cape Coral-Fort Myers, FL","  586,908","   86","   969","     17","   77","     43"
"Charleston-North Charleston-Summerville, SC","  659,191","   80","   527","     8","   92","     91"
"Charlotte-Gastonia-Concord, NC-SC","  1,745,524","   33","   3,225","     18","   32","     34"
"Chattanooga, TN-GA","  524,303","   98","   561","     11","   91","     74"
"Chicago-Naperville-Joliet, IL-IN-WI","  9,580,567","    3","  10,171","     11","    9","     75"
"Cincinnati-Middletown, OH-KY-IN","  2,171,896","   24","   1,275","     6","   63","     96"
"Cleveland-Elyria-Mentor, OH","  2,091,286","   26","   2,262","     11","   38","     73"
"Colorado Springs, CO","  626,227","   83","   1,024","     16","   71","     45"
"Columbia, SC","  744,730","   69","   1,621","     22","   51","     26"
"Columbus, OH","  1,801,848","   32","   1,418","     8","   58","     92"
"Dallas-Fort Worth-Arlington, TX","  6,447,615","    4","   5,865","     9","   21","     87"
"Dayton, OH","  835,063","   61","   986","     12","   75","     70"
"Denver-Aurora-Broomfield, CO /1","  2,552,195","   21","   4,809","     19","   26","     30"
"Des Moines-West Des Moines, IA","  562,906","   90","   986","     18","   76","     39"
"Detroit-Warren-Livonia, MI","  4,403,437","   11","   5,124","     12","   25","     71"
"El Paso, TX","  751,296","   68","   1,331","     18","   60","     37"
"Fresno, CA","  915,267","   54","   5,135","     56","   24","     3"
"Grand Rapids-Wyoming, MI","  778,009","   67","   627","     8","   89","     90"
"Greensboro-High Point, NC","  714,765","   71","   1,024","     14","   72","     55"
"Greenville-Mauldin-Easley, SC","  639,617","   82","   1,401","     22","   59","     24"
"Harrisburg-Carlisle, PA","  536,919","   96","   394","     7","   96","     94"
"Hartford-West Hartford-East Hartford, CT","  1,195,998","   45","   881","     7","   79","     93"
"Honolulu, HI","  907,574","   55","   4,234","     47","   28","     5"
"Houston-Sugar Land-Baytown, TX","  5,867,489","    6","   9,217","     16","   13","     50"
"Indianapolis-Carmel, IN","  1,743,658","   34","   1,587","     9","   52","     86"
"Jackson, MS","  540,866","   94","   826","     15","   85","     52"
"Jacksonville, FL","  1,328,144","   40","   4,416","     33","   27","     14"
"Kansas City, MO-KS","  2,067,585","   29","   3,307","     16","   31","     49"
"Knoxville, TN","  699,247","   73","   998","     14","   74","     56"
"Lakeland-Winter Haven, FL","  583,403","   87","   1,100","     19","   69","     29"
"Las Vegas-Paradise, NV","  1,902,834","   30","   9,432","     50","   12","      4"
"Little Rock-North Little Rock-Conway, AR","   685,488","   76","   1,276","     19","   62","     31"
"Los Angeles-Long Beach-Santa Ana, CA"," 12,874,797","    2","  57,153","     44","   2","      6"
"Louisville/Jefferson County, KY-IN","  1,258,577","   42","   1,628","     13","   50","     63"
"Madison, WI","   570,025","    88","    676","      12","    87","      69"
"McAllen-Edinburg-Mission, TX","   741,152","    70","    n/a","      n/a","    n/a","     n/a"
"Memphis, TN-MS-AR","   1,304,926","    41","    1,942","      15","    44","      54"
"Miami-Fort Lauderdale-Pompano Beach, FL","   5,547,051","     7","    9,766","      18","    10","      38"
"Milwaukee-Waukesha-West Allis, WI","   1,559,667","    39","    1,466","      9","    55","      83"
"Minneapolis-St. Paul-Bloomington, MN-WI","   3,269,814","    16","    5,235","      16","    23","      48"
"Modesto, CA","   510,385","    100","    1,434","      28","    57","      18"
"Nashville-Davidson--Murfreesboro--Franklin, TN","   1,582,264","    38","    2,163","      14","    40","      59"
"New Haven-Milford, CT","   848,006","    60","    844","      10","    83","      79"
"New Orleans-Metairie-Kenner, LA","   1,189,981","    46","    6,687","      56","    18","      2"
"New York-Northern New Jersey-Long Island, NY-NJ-PA","  19,069,796","     1","   66,269","      35","     1","      13"
"Ogden-Clearfield, UT","   541,569","    93","    n/a","      n/a","    n/a","     n/a"
"Oklahoma City, OK","   1,227,278","    44","    1,967","      16","    42","      47"
"Omaha-Council Bluffs, NE-IA","   849,517","    59","    1,580","      19","    54","      32"
"Orlando-Kissimmee, FL","   2,082,421","    27","    6,230","      30","    19","      17"
"Oxnard-Thousand Oaks-Ventura, CA","   802,983","    65","    1,810","      23","    47","      22"
"Palm Bay-Melbourne-Titusville, FL","   536,357","    97","    1,907","      36","    46","      11"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","   5,968,252","     5","   11,757","      20","     7","      27"
"Phoenix-Mesa-Scottsdale, AZ","   4,364,094","    12","    5,831","      13","    22","      60"
"Pittsburgh, PA","   2,354,957","    22","    2,225","      9","    39","      82"
"Portland-South Portland-Biddeford, ME","   516,826","    99","    615","      12","    90","      68"
"Portland-Vancouver-Beaverton, OR-WA","   2,241,841","    23","    7,104","      32","    16","      15"
"Poughkeepsie-Newburgh-Middletown, NY","   677,094","    77","    883","      13","    78","      62"
"Providence-New Bedford-Fall River, RI-MA","   1,600,642","    37","    1,933","      12","    45","      67"
"Provo-Orem, UT","   555,551","    91","    199","      4","    98","      98"
"Raleigh-Cary, NC","   1,125,827","    49","    1,150","      10","    67","      78"
"Richmond, VA","   1,238,187","    43","    1,153","      9","    65","      84"
"Riverside-San Bernardino-Ontario, CA","   4,143,113","    14","    9,028","      22","    14","      25"
"Rochester, NY","   1,035,566","    51","    847","      8","    82","      89"
"Sacramento--Arden-Arcade--Roseville, CA","   2,127,355","    25","    3,665","      17","    29","      41"
"Salt Lake City, UT","   1,130,293","    48","    2,033","      18","    41","      35"
"San Antonio, TX","   2,072,128","    28","    3,222","      16","    33","      51"
"San Diego-Carlsbad-San Marcos, CA","   3,053,793","    17","    9,436","      31","    11","      16"
"San Francisco-Oakland-Fremont, CA","   4,317,853","    13","   15,050","      35","     4","      12"
"San Jose-Sunnyvale-Santa Clara, CA","   1,839,700","    31","    7,067","      38","    17","      7"
"Scranton--Wilkes-Barre, PA","   549,454","    92","    456","      8","    95","      88"
"Seattle-Tacoma-Bellevue, WA","   3,407,848","    15","   12,921","      38","     6","      8"
"Springfield, MA","   698,903","    74","    2,566","      37","    35","      10"
"St. Louis, MO-IL","   2,828,990","    18","    3,630","      13","    30","      64"
"Stockton, CA","   674,860","    78","    2,540","      38","    36","      9"
"Syracuse, NY","   646,084","    81","    786","      12","    86","      66"
"Tampa-St. Petersburg-Clearwater, FL","   2,747,272","    19","   15,728","      57","     3","      1"
"Toledo, OH","   672,220","    79","    1,096","      16","    70","      46"
"Tucson, AZ","   1,020,200","    52","    2,626","      26","    34","      19"
"Tulsa, OK","   929,015","    53","    879","      9","    80","      81"
"Virginia Beach-Norfolk-Newport News, VA-NC","   1,674,498","    36","    1,772","      11","    48","      76"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","   5,476,241","     8","   13,205","      24","     5","      21"
"Wichita, KS","   612,683","    84","    634","      10","    88","      77"
"Worcester, MA","   803,701","    64","    1,315","      16","    61","      44"
"Youngstown-Warren-Boardman, OH-PA","   562,963","    89","    223","      4","    97","      97"
