Number,Judge,State,Born/Died,Born,Died,Served,Appointed,Terminated,Term as Chief,Senior status,Appointed By,Reason for Termination
1,James Wilson,PA,1742–1798,1742,1798,1789–1798,1789,1798,—,—,Washington,Death
2,John Jay,NY,1745–1829,1745,1829,1789–1795,1789,1795,1789–1795,—,Washington,Resignation
3,William Cushing,MA,1732–1810,1732,1810,1789–1810,1789,1810,—,—,Washington,Death
4,"John Blair, Jr.",VA,1732–1800,1732,1800,1789–1795,1789,1795,—,—,Washington,Resignation
5,John Rutledge,SC,1739–1800,1739,1800,1789–1791,1789,1791,—,—,Washington,Resignation
6,James Iredell,NC,1751–1799,1751,1799,1790–1799,1790,1799,—,—,Washington,Death
7,Thomas Johnson,MD,1732–1819,1732,1819,1792–1793,1792,1793,—,—,Washington,Resignation
8,William Paterson,NJ,1745–1806,1745,1806,1793–1806,1793,1806,—,—,Washington,Death
9,Samuel Chase,MD,1741–1811,1741,1811,1796–1811,1796,1811,—,—,Washington,Death
10,Oliver Ellsworth,CT,1745–1807,1745,1807,1796–1800,1796,1800,1796–1800,—,Washington,Resignation
11,Bushrod Washington,VA,1762–1829,1762,1829,1798–1829,1798,1829,—,—,"Adams, J.",Death
12,Alfred Moore,NC,1755–1810,1755,1810,1800–1804,1800,1804,—,—,"Adams, J.",Resignation
13,John Marshall,VA,1755–1835,1755,1835,1801–1835,1801,1835,1801–1835,—,"Adams, J.",Death
14,William Johnson,SC,1771–1834,1771,1834,1804–1834,1804,1834,—,—,Jefferson,Death
15,Henry Brockholst Livingston,NY,1757–1823,1757,1823,1807–1823,1807,1823,—,—,Jefferson,Death
16,Thomas Todd,KY,1765–1826,1765,1826,1807–1826,1807,1826,—,—,Jefferson,Death
17,Gabriel Duvall,MD,1752–1844,1752,1844,1811–1835,1811,1835,—,—,Madison,Resignation
18,Joseph Story,MA,1779–1845,1779,1845,1812–1845,1812,1845,—,—,Madison,Death
19,Smith Thompson,NY,1768–1843,1768,1843,1823–1843,1823,1843,—,—,Monroe,Death
20,Robert Trimble,KY,1776–1828,1776,1828,1826–1828,1826,1828,—,—,"Adams, J. Q.",Death
21,John McLean,OH,1785–1861,1785,1861,1830–1861,1830,1861,—,—,Jackson,Death
22,Henry Baldwin,PA,1780–1844,1780,1844,1830–1844,1830,1844,—,—,Jackson,Death
23,James Moore Wayne,GA,1790–1867,1790,1867,1835–1867,1835,1867,—,—,Jackson,Death
24,Roger B. Taney,MD,1777–1864,1777,1864,1836–1864,1836,1864,1836–1864,—,Jackson,Death
25,Philip Pendleton Barbour,VA,1783–1841,1783,1841,1836–1841,1836,1841,—,—,Jackson,Death
26,John Catron,TN,1786–1865,1786,1865,1837–1865,1837,1865,—,—,Jackson,Death
27,John McKinley,AL,1780–1852,1780,1852,1837–1852,1837,1852,—,—,Van Buren,Death
28,Peter Vivian Daniel,VA,1784–1860,1784,1860,1842–1860,1842,1860,—,—,Van Buren,Death
29,Samuel Nelson,NY,1792–1873,1792,1873,1845–1872,1845,1872,—,—,Tyler,Retirement
30,Levi Woodbury,NH,1789–1851,1789,1851,1845–1851,1845,1851,—,—,Polk,Death
31,Robert Cooper Grier,PA,1794–1870,1794,1870,1846–1870,1846,1870,—,—,Polk,Retirement
32,Benjamin Robbins Curtis,MA,1809–1874,1809,1874,1851–1857,1851,1857,—,—,Fillmore,Resignation
33,John Archibald Campbell,AL,1811–1889,1811,1889,1853–1861,1853,1861,—,—,Pierce,Resignation
34,Nathan Clifford,ME,1803–1881,1803,1881,1858–1881,1858,1881,—,—,Buchanan,Death
35,Noah Haynes Swayne,OH,1804–1884,1804,1884,1862–1881,1862,1881,—,—,Lincoln,Retirement
36,Samuel Freeman Miller,IA,1816–1890,1816,1890,1862–1890,1862,1890,—,—,Lincoln,Death
37,David Davis,IL,1815–1886,1815,1886,1862–1877,1862,1877,—,—,Lincoln,Resignation
38,Stephen Johnson Field,CA,1816–1899,1816,1899,1863–1897,1863,1897,—,—,Lincoln,Retirement
39,Salmon P. Chase,OH,1808–1873,1808,1873,1864–1873,1864,1873,1864–1873,—,Lincoln,Death
40,William Strong,PA,1808–1895,1808,1895,1870–1880,1870,1880,—,—,Grant,Retirement
41,Joseph P. Bradley,NJ,1813–1892,1813,1892,1870–1892,1870,1892,—,—,Grant,Death
42,Ward Hunt,NY,1810–1886,1810,1886,1873–1882,1873,1882,—,—,Grant,Retirement
43,Morrison Waite,OH,1816–1888,1816,1888,1874–1888,1874,1888,1874–1888,—,Grant,Death
44,John Marshall Harlan,KY,1833–1911,1833,1911,1877–1911,1877,1911,—,—,Hayes,Death
45,William Burnham Woods,AL,1824–1887,1824,1887,1881–1887,1881,1887,—,—,Hayes,Death
46,Stanley Matthews,OH,1824–1889,1824,1889,1881–1889,1881,1889,—,—,Garfield,Death
47,Horace Gray,MA,1828–1902,1828,1902,1882–1902,1882,1902,—,—,Arthur,Death
48,Samuel Blatchford,NY,1820–1893,1820,1893,1882–1893,1882,1893,—,—,Arthur,Death
49,Lucius Quintus Cincinnatus Lamar,MS,1825–1893,1825,1893,1888–1893,1888,1893,—,—,Cleveland,Death
50,Melville Fuller,IL,1833–1910,1833,1910,1888–1910,1888,1910,1888–1910,—,Cleveland,Death
51,David Josiah Brewer,KS,1837–1910,1837,1910,1890–1910,1890,1910,—,—,"Harrison, B.",Death
52,Henry Billings Brown,MI,1836–1913,1836,1913,1891–1906,1891,1906,—,—,"Harrison, B.",Retirement
53,"George Shiras, Jr.",PA,1832–1924,1832,1924,1892–1903,1892,1903,—,—,"Harrison, B.",Retirement
54,Howell Edmunds Jackson,TN,1832–1895,1832,1895,1893–1895,1893,1895,—,—,"Harrison, B.",Death
55,Edward Douglass White,LA,1845–1921,1845,1921,1894–1921,1894,1921,1910–1921,—,Cleveland (associate); Taft (chief)[9],Death
56,Rufus Wheeler Peckham,NY,1838–1909,1838,1909,1896–1909,1896,1909,—,—,Cleveland,Death
57,Joseph McKenna,CA,1843–1926,1843,1926,1898–1925,1898,1925,1921 (acting)[10],—,McKinley,Retirement
58,"Oliver Wendell Holmes, Jr.",MA,1841–1935,1841,1935,1902–1932,1902,1932,1930 (acting)[11],—,"Roosevelt, T.",Retirement
59,William R. Day,OH,1849–1923,1849,1923,1903–1922,1903,1922,—,—,"Roosevelt, T.",Retirement
60,William Henry Moody,MA,1853–1917,1853,1917,1906–1910,1906,1910,—,—,"Roosevelt, T.",Retirement
61,Horace Harmon Lurton,TN,1844–1914,1844,1914,1910–1914,1910,1914,—,—,Taft,Death
62,Charles Evans Hughes,NY,1862–1948,1862,1948,1930–1941,1930,1941,1930–1941,—,Hoover,Retirement
62,Charles Evans Hughes,NY,1862–1948,1862,1948,1910–1916,1910,1916,—,—,Taft,Resignation
63,Willis Van Devanter,WY,1859–1941,1859,1941,1911–1937,1911,1937,—,1937–1941,Taft,Retirement
64,Joseph Rucker Lamar,GA,1857–1916,1857,1916,1911–1916,1911,1916,—,—,Taft,Death
65,Mahlon Pitney,NJ,1858–1924,1858,1924,1912–1922,1912,1922,—,—,Taft,Resignation
66,James Clark McReynolds,NY,1862–1946,1862,1946,1914–1941,1914,1941,—,1941–1946,Wilson,Retirement
67,Louis Brandeis,MA,1856–1941,1856,1941,1916–1939,1916,1939,—,1939–1941,Wilson,Retirement
68,John Hessin Clarke,OH,1857–1945,1857,1945,1916–1922,1916,1922,—,—,Wilson,Resignation
69,William Howard Taft,OH,1857–1930,1857,1930,1921–1930,1921,1930,1921–1930,—,Harding,Resignation
70,George Sutherland,UT,1862–1942,1862,1942,1922–1938,1922,1938,—,1938–1942,Harding,Retirement
71,Pierce Butler,MN,1866–1939,1866,1939,1923–1939,1923,1939,—,—,Harding,Death
72,Edward Terry Sanford,TN,1865–1930,1865,1930,1923–1930,1923,1930,—,—,Harding,Death
73,Harlan F. Stone,NY,1872–1946,1872,1946,1925–1946,1925,1946,1941–1946[15],—,"Coolidge (associate); Roosevelt, F. (chief)[9]",Death
74,Owen Roberts,PA,1875–1955,1875,1955,1930–1945,1930,1945,—,—,Hoover,Resignation
75,Benjamin N. Cardozo,NY,1870–1938,1870,1938,1932–1938,1932,1938,—,—,Hoover,Death
76,Hugo Black,AL,1886–1971,1886,1971,1937–1971,1937,1971,"1946 (acting), 1953 (acting)[16][17]",1971–1971,"Roosevelt, F.",Retirement
77,Stanley Forman Reed,KY,1884–1980,1884,1980,1938–1957,1938,1957,—,1957–1980,"Roosevelt, F.",Retirement
78,Felix Frankfurter,NY,1882–1965,1882,1965,1939–1962,1939,1962,—,1962–1965,"Roosevelt, F.",Retirement
79,William O. Douglas,WA,1898–1980,1898,1980,1939–1975,1939,1975,—,1975–1980,"Roosevelt, F.",Retirement
80,Frank Murphy,MI,1890–1949,1890,1949,1940–1949,1940,1949,—,—,"Roosevelt, F.",Death
81,James F. Byrnes,SC,1879–1972,1879,1972,1941–1942,1941,1942,—,—,"Roosevelt, F.",Resignation
82,Robert H. Jackson,NY,1892–1954,1892,1954,1941–1954,1941,1954,—,—,"Roosevelt, F.",Death
83,Wiley Blount Rutledge,IA,1894–1949,1894,1949,1943–1949,1943,1949,—,—,"Roosevelt, F.",Death
84,Harold Hitz Burton,OH,1888–1964,1888,1964,1945–1958,1945,1958,—,1958–1964,Truman,Retirement
85,Fred M. Vinson,KY,1890–1953,1890,1953,1946–1953,1946,1953,1946–1953,—,Truman,Death
86,Tom C. Clark,TX,1899–1977,1899,1977,1949–1967,1949,1967,—,1967–1977,Truman,Retirement
87,Sherman Minton,IN,1890–1965,1890,1965,1949–1956,1949,1956,—,1956–1965,Truman,Retirement
88,Earl Warren,CA,1891–1974,1891,1974,1953–1969,1953,1969,1953–1969,1969–1974,Eisenhower,Retirement
89,John Marshall Harlan II,NY,1899–1971,1899,1971,1955–1971,1955,1971,—,1971–1971,Eisenhower,Retirement
90,"William J. Brennan, Jr.",NJ,1906–1997,1906,1997,1956–1990,1956,1990,—,1990–1997,Eisenhower,Retirement
91,Charles Evans Whittaker,MO,1901–1973,1901,1973,1957–1962,1957,1962,—,1962–1965,Eisenhower,Resignation
92,Potter Stewart,OH,1915–1985,1915,1985,1958–1981,1958,1981,—,1981–1985,Eisenhower,Retirement
93,Byron White,CO,1917–2002,1917,2002,1962–1993,1962,1993,—,1993–2002,Kennedy,Retirement
94,Arthur Goldberg,IL,1908–1990,1908,1990,1962–1965,1962,1965,—,—,Kennedy,Resignation
95,Abe Fortas,TN,1910–1982,1910,1982,1965–1969,1965,1969,—,—,"Johnson, L.",Resignation
96,Thurgood Marshall,NY,1908–1993,1908,1993,1967–1991,1967,1991,—,1991–1993,"Johnson, L.",Retirement
97,Warren E. Burger,MN,1907–1995,1907,1995,1969–1986,1969,1986,1969–1986,1986–1995,Nixon,Retirement
98,Harry Blackmun,MN,1908–1999,1908,1999,1970–1994,1970,1994,—,1994–1999,Nixon,Retirement
99,"Lewis F. Powell, Jr.",VA,1907–1998,1907,1998,1972–1987,1972,1987,—,1987–1998,Nixon,Retirement
100,William Rehnquist,AZ/VA,1924–2005,1924,2005,1972–2005,1972,2005,1986–2005,—,Nixon (associate); Reagan (chief)[9],Death
101,John Paul Stevens,IL,1920–,1920,,1975–2010,1975,2010,2005 (acting),2010–present,Ford,Retirement
102,Sandra Day O'Connor,AZ,1930–,1930,,1981–2006,1981,2006,—,2006–present,Reagan,Retirement
103,Antonin Scalia,NY,1936–,1936,,1986–present,1986,present,—,—,Reagan,Currently serving
104,Anthony Kennedy,CA,1936–,1936,,1988–present,1988,present,—,—,Reagan,Currently serving
105,David Souter,NH,1939–,1939,,1990–2009,1990,2009,—,2009–present,"Bush, G. H. W.",Retirement
106,Clarence Thomas,GA,1948–,1948,,1991–present,1991,present,—,—,"Bush, G. H. W.",Currently serving
107,Ruth Bader Ginsburg,NY,1933–,1933,,1993–present,1993,present,—,—,Clinton,Currently serving
108,Stephen Breyer,MA,1938–,1938,,1994–present,1994,present,—,—,Clinton,Currently serving
109,John G. Roberts,IN/NY,1955–,1955,,2005–present,2005,present,2005–present,—,"Bush, G. W.",Currently serving
110,Samuel Alito,NJ,1950–,1950,,2006–present,2006,present,—,—,"Bush, G. W.",Currently serving
111,Sonia Sotomayor,NY,1954–,1954,,2009–present,2009,present,—,—,Obama,Currently serving
112,Elena Kagan,NY,1960–,1960,,2010–present,2010,present,—,—,Obama,Currently serving